lat,lon,depth
35.15752,139.59923,23.312
35.15753,139.5995,22.895
35.157555,139.59935,23.156
35.157578,139.5994,23.291
35.15774,139.59962,22.479
35.157784,139.59969,22.261
35.157806,139.59972,22.292
35.157814,139.59975,22.052
35.157898,139.59969,21.314
35.157898,139.5997,21.407
35.157898,139.59972,21.813
35.157898,139.59975,21.678
35.157898,139.59976,21.699
35.1579,139.59967,21.667
35.157715,139.59991,19.617
35.15772,139.59987,20.897
35.157815881128386,139.59981622745136,21.12595611472333
35.157784,139.5999,20.585
35.157787,139.5999,20.096
35.15779,139.59993,19.222
35.157795,139.5999,20.533
35.1578,139.59991,20.127
35.157806,139.5999,20.429
35.15785,139.5998,21.678
35.157852,139.59981,21.282
35.157867,139.59984,20.97
35.157875,139.59984,20.918
35.157875,139.59985,20.835
35.1579,139.59978,21.678
35.157818,139.59991,20.325
35.15783,139.59991,20.158
35.15784,139.59993,20.106
35.157852,139.59993,19.909
35.157894,139.5999,20.533
35.1578,139.59995,18.753
35.157806,139.59996,18.545
35.157814,139.59996,18.577
35.157825,139.59998,18.816
35.157833,139.59995,19.461
35.157837,139.59998,18.504
35.15785,139.59998,18.92
35.15786,139.59995,19.628
35.157875,139.59996,19.576
35.157883,139.59996,19.086
35.15789,139.59998,18.545
35.1579,139.59999,17.671
35.157906,139.59966,21.771
35.157913,139.59964,22.802
35.15792,139.59962,22.833
35.15793,139.59962,22.989
35.15794,139.59961,23.02
35.157955,139.59961,22.802
35.157967,139.59962,22.833
35.157978,139.59962,22.781
35.15798,139.59964,22.625
35.15801,139.5997,21.001
35.158028,139.59976,17.661
35.15808,139.59987,17.983
35.157974,139.6,15.049
35.157986,139.60002,15.059
35.157993,139.60004,14.487
35.158,139.60005,13.602
35.158005,139.60008,12.894
35.158012,139.60008,12.176
35.158024,139.6001,11.469
35.158035,139.60011,11.011
35.158047,139.60011,10.511
35.158085,139.59988,17.786
35.158096,139.5999,17.463
35.1581,139.59991,17.265
35.15811,139.59993,17.369
35.15812,139.59995,16.995
35.158127,139.59996,16.558
35.15813,139.59998,16.068
35.15814,139.59999,16.006
35.158142,139.6,15.673
35.158146,139.60011,5.859
35.158154,139.60002,14.809
35.15816,139.60004,14.382
35.15817,139.60005,14.382
35.15818,139.60008,10.511
35.158195,139.60008,9.918
35.15821,139.60008,10.012
35.158257,139.60007,14.976
35.157505,139.60028,8.96
35.157516,139.60028,8.971
35.15753,139.60028,8.846
35.15751,139.60152,7.014
35.157516,139.60149,7.16
35.157524,139.60147,7.233
35.15753,139.60146,7.337
35.15772,139.60025,10.324
35.157734,139.60025,10.032
35.157745,139.60025,10.043
35.157772,139.60025,12.239
35.157784,139.60025,12.197
35.1578,139.60025,12.093
35.15781,139.60025,11.978
35.15782,139.60027,11.281
35.157833,139.60027,10.979
35.15785,139.60027,10.126
35.15786,139.60028,10.397
35.157875,139.60028,10.553
35.157887,139.6003,10.584
35.157894,139.6003,10.313
35.157703,139.60056,10.272
35.157703,139.60057,10.095
35.157703,139.6006,10.053
35.158092,139.60013,7.993
35.158108,139.60013,7.264
35.158127,139.60013,6.723
35.158203,139.60016,7.493
35.158203,139.60017,6.858
35.158215,139.6002,6.702
35.15819248697821,139.60022883282633,8.636244916157466
35.15824764886892,139.60041188118552,12.259140255262494
35.158257,139.60031,11.115
35.158253,139.60046,13.206
35.158257,139.60048,13.144
35.157658,139.60089,13.498
35.157658,139.60097,12.686
35.157658,139.60098,12.603
35.15766,139.60088,13.737
35.15767,139.60086,14.122
35.15894,139.59958,22.51
35.158943,139.59958,22.614
35.15895,139.59956,22.594
35.15896,139.59955,22.698
35.15897,139.59953,22.916
35.158978,139.59952,23.208
35.158985,139.5995,23.187
35.158897,139.59976,20.491
35.158916,139.59962,22.198
35.15892,139.59962,22.292
35.158928,139.59961,22.115
35.15893,139.5996,22.136
35.158768,139.59982,19.586
35.15877,139.59981,19.742
35.15877,139.59984,19.409
35.15877,139.59985,19.586
35.158775,139.59987,19.399
35.15878,139.59988,19.159
35.15879,139.59988,18.993
35.1588,139.5999,18.629
35.158756,139.60007,12.821
35.158768,139.60007,12.988
35.158775,139.60005,13.269
35.158783,139.60004,13.446
35.158783,139.60011,15.798
35.158794,139.60002,13.363
35.158802,139.60002,13.238
35.158802,139.60008,15.787
35.15884628953145,139.5998107468944,19.361277986701534
35.158829474650965,139.59984840967795,18.615489481516768
35.158882,139.59978,19.7298
35.158882,139.5998,18.608
35.158886,139.59978,19.960500000000003
35.158886,139.5998,19.617
35.15889,139.59978,19.932666666666663
35.15889,139.5998,19.06025
35.158894,139.5998,19.825
35.15888,139.59985,19.253
35.158882,139.59981,20.018
35.158882,139.59984,14.799
35.158886,139.59985,18.816
35.15889,139.59981,19.451
35.15889,139.59982,15.611
35.15889,139.59984,19.076
35.15886,139.59988,15.767
35.158867,139.59991,17.172
35.15887,139.5999,15.475
35.158875,139.59993,16.225
35.15888,139.59987,18.951
35.15888,139.5999,16.027
35.158882,139.59993,14.892
35.158886,139.59993,14.799
35.15889,139.59993,15.964
35.15889745954318,139.59979130716962,19.548414810777707
35.1589062776743,139.59983210576343,18.602378354264005
35.158943983845916,139.59980982232415,19.47703200720839
35.158947,139.59984,19.2635
35.15896,139.59984,21.584
35.158962,139.59984,16.891
35.158962,139.59985,21.012
35.15897,139.59985,21.407
35.158974,139.59984,16.526
35.15898,139.59985,17.005
35.15889995791453,139.59987358618588,17.613378776468824
35.15888313627088,139.59992131318356,15.942671759423027
35.15898,139.59987,20.814
35.158985,139.59987,19.815
35.158980633737166,139.59989823218757,19.26371458896254
35.158848922990146,139.5999645940765,15.5165976781144
35.15885,139.6,15.673
35.15885,139.60002,15.642
35.158855,139.59995,15.205
35.15886,139.59995,15.34
35.158863,139.59996,15.132
35.158867,139.59996,15.902
35.158875,139.59995,14.976
35.158875,139.59998,15.933
35.158855,139.6,15.798
35.158855,139.60002,14.908
35.15886,139.6,16.61
35.158894,139.59999,16.204
35.158833,139.60008,13.581
35.158833,139.6001,13.8
35.158836,139.60007,13.508
35.15884,139.6001,13.831
35.158844,139.60007,13.883
35.158848,139.60005,14.049
35.158848,139.6001,14.206
35.15885,139.60004,14.32
35.15886,139.60011,14.32
35.158867,139.60011,14.809
35.15888,139.60011,14.965
35.15889,139.60011,15.444
35.15888165176063,139.599952235263,15.877683136162789
35.158899435818576,139.60003432007335,16.551318118281493
35.15898,139.59998,17.671
35.15893441798041,139.60004102508233,16.985923380052245
35.158897,139.60011,15.704
35.1589,139.60004,17.338
35.15891,139.60004,17.432
35.15892,139.60007,18.15
35.158924,139.60008,17.64
35.158924,139.6001,17.14
35.158928,139.60011,17.38
35.158947,139.60004,16.318
35.15922,139.59926,29.566
35.159233,139.59924,29.764
35.15924,139.59924,29.608
35.159252,139.59923,29.608
35.159264,139.59923,29.785
35.15928,139.59921,29.806
35.159294,139.59923,29.962
35.15931,139.59924,29.702
35.15932,139.59924,29.91
35.159332,139.59926,30.003
35.15934,139.59927,29.899
35.15935,139.59927,29.847
35.15936,139.59929,29.618
35.159363,139.5993,29.764
35.15937,139.59932,29.702
35.15938,139.59933,29.983
35.15939,139.59935,29.66
35.159393,139.59937,29.743
35.159397,139.59938,29.535
35.1594,139.5994,29.556
35.159687,139.5994,29.931
35.1597,139.5994,30.055
35.159264,139.59973,27.735
35.15927,139.59972,27.88
35.15929,139.5997,27.641
35.1593,139.5997,27.735
35.15931,139.59969,27.984
35.159317,139.59969,28.203
35.159332,139.59967,28.193
35.159344,139.59966,28.151
35.159048306346634,139.59983425654812,21.58299480086555
35.159073,139.59987,20.741
35.159073,139.5999,21.293
35.159077,139.59984,21.532
35.15909,139.59982,22.656
35.159092,139.59978,24.477
35.159092,139.59981,22.76
35.159096,139.5998,22.791
35.159115,139.59985,23.593
35.15912,139.59985,23.822
35.159126,139.59984,24.144
35.15914,139.59981,25.653
35.15915,139.5998,26.08
35.159157,139.5998,26.423
35.15910431379917,139.59986874332344,22.913380417072503
35.159107,139.59991,21.262
35.159107,139.59993,24.977
35.15911,139.59991,22.521
35.15912,139.5999,23.6445
35.15912,139.59991,25.05
35.159140514549534,139.59988007174587,24.61374197670905
35.159122,139.59991,22.895
35.159134,139.5999,26.09
35.159134,139.59993,23.426
35.159153,139.5999,25.83
35.159153,139.59991,23.926
35.159164,139.59991,24.633
35.159075704076976,139.59997998267184,22.03000786366575
35.15902209575807,139.60006361351248,20.539792228478102
35.1591,139.59999,21.355
35.159103,139.59996,23.863
35.15911,139.59996,24.696
35.159115,139.59999,21.886
35.159115,139.6,22.573
35.159122,139.59996,24.987
35.159126,139.6,22.937
35.15913,139.59996,25.383
35.159138,139.6,23.561
35.15914,139.59998,25.674
35.159153,139.60002,23.79
35.15916,139.59996,26.236
35.159164,139.6,24.207
35.159130073517304,139.60001272586018,23.599501834817005
35.15917,139.59991,25.56
35.159172,139.59978,27.141
35.159176,139.59991,25.008
35.15918,139.59991,25.331
35.159184,139.59978,27.037
35.159187,139.59991,26.236
35.15924,139.60002,26.153
35.159252,139.6,26.153
35.159256,139.60002,25.934
35.159181297933294,139.6000092082553,24.77735423873893
35.15926,139.60002,26.163
35.159247418454946,139.6000157626193,25.991377983751015
35.159403950417335,139.59937561299245,29.591439247612403
35.15944802673648,139.59961233558218,28.702986563757428
35.15947,139.59947,29.223
35.159485,139.59947,29.067
35.1595,139.59946,29.639
35.159508,139.59946,29.254
35.15952,139.59946,28.952
35.159503035011966,139.59954097058701,29.069154681087326
35.15946,139.5996,29.119
35.159462,139.59961,28.65
35.159466,139.59962,28.942
35.15947,139.59964,28.703
35.159473,139.59966,28.557
35.15948,139.59967,28.609
35.15948,139.5997,28.422
35.159485,139.59972,28.380000000000003
35.159485,139.59973,28.068
35.159485,139.59976,27.912
35.15949,139.59975,27.891
35.15953,139.59944,29.275
35.159542,139.59944,29.202
35.159557,139.59944,29.608
35.15957,139.59944,29.931
35.159584,139.59943,29.816
35.159595,139.59943,29.733
35.159607,139.59943,29.504
35.15962,139.59943,29.483
35.15963,139.59943,29.483
35.159645,139.59941,29.389
35.15966,139.59941,29.702
